"","cod_municipio_ibge","municipio","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds"
"5237",3510203,"Capão Bonito",0,0,2406,0,0,0,0,4293,0,1,73,0,0,0,0
"5238",3510708,"Cardoso",0,0,0,0,0,0,0,497,0,0,27,0,0,0,0
"5239",3510807,"Casa Branca",0,0,2,0,0,0,0,0,0,2,63,0,0,0,0
"5240",3510906,"Cássia dos Coqueiros",156,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"5241",3511201,"Catiguá",0,0,0,0,0,0,0,205,0,0,0,0,0,0,0
"5242",3511904,"Clementina",0,739,0,0,0,0,0,0,0,0,0,0,0,0,0
"5243",3512001,"Colina",0,0,0,0,0,0,0,939,0,4,28,0,0,0,0
"5244",3512100,"Colômbia",0,0,0,0,0,0,0,0,0,1,8,0,0,0,139
"5245",3512605,"Coronel Macedo",57,32,0,0,0,0,0,118,0,0,16,0,0,0,0
"5246",3512704,"Corumbataí",0,0,0,0,0,0,0,306,0,0,20,0,0,0,0
"5247",3512803,"Cosmópolis",0,0,0,0,0,0,0,0,0,7,56,0,393,0,0
"5248",3512902,"Cosmorama",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
